name,short_descr,href,img_url,orig_short_descr
Abyssinian,"Abyssinians are highly intelligent and intensely inquisitive. They love to investigate and will leave no nook or cranny unexplored. They’re sometimes referred to as “Aby-grabbys” because they tend to take things that grab their interest. The playful Aby loves to jump and climb. Keep a variety of toys on hand to keep her occupied, including puzzle toys that challenge her intelligence.",https://www.purina.com/breeds/abyssinian-cat,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Abyssinian_body_7.jpg?itok=4J8MJgGc,"Abyssinians are highly intelligent and intensely inquisitive. They love to investigate and will leave no nook or cranny unexplored. They’re sometimes referred to as “Aby-grabbys” because they tend to take things that grab their interest. The playful Aby loves to jump and climb. Keep a variety of toys on hand to keep her occupied, including puzzle toys that challenge her intelligence."
Balinese-Javanese,"The Balinese, also known as Javanese depending on coat color and pattern, is regal and aristocratic in appearance, but a curious kitten at heart. ",https://www.purina.com/cats/cat-breeds/balinese-javanese,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Javanese_body_6.jpg?itok=HDaIyrJN,"The Balinese, also known as Javanese depending on coat color and pattern, is regal and aristocratic in appearance, but a curious kitten at heart. "
Bengal,"Bengal Cats are curious and confident with the tameness of a domestic tabby and the beauty of an Asian Leopard Cat. Learn more about Bengals and their playful personality, plus information on their health and how to feed them.",https://www.purina.com/breeds/bengal-cat,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Bengal_body_6.jpg?itok=afolh-QS,"Bengal Cats are curious and confident with the tameness of a domestic tabby and the beauty of an Asian Leopard Cat. Learn more about Bengals and their playful personality, plus information on their health and how to feed them."
Birman,"The Birman is a cat of distinction as well as legend. With their exotic ancestry, luxurious pointed coats, “white gloved” paws and mesmerizing blue eyes, this is a breed with undeniable charisma. ",https://www.purina.com/breeds/birman-cat-breed,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Birman_body_6.jpg?itok=Me_xJBY1,"The Birman is a cat of distinction as well as legend. With their exotic ancestry, luxurious pointed coats, “white gloved” paws and mesmerizing blue eyes, this is a breed with undeniable charisma. "
Bombay,"The Bombay is an easy-going, yet energetic cat. She does well in quiet apartments where she’s the center of attention as well as in lively homes with children and other pets. She’ll talk to you in a distinct voice, and you’re likely to find her in the warmest spot in your home, whether that’s in the sunlight from a window or curled up under the covers in bed with you. ",https://www.purina.com/cats/cat-breeds/bombay,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Bombay_body_6.jpg?itok=v2NCadbN,"The Bombay is an easy-going, yet energetic cat. She does well in quiet apartments where she’s the center of attention as well as in lively homes with children and other pets. She’ll talk to you in a distinct voice, and you’re likely to find her in the warmest spot in your home, whether that’s in the sunlight from a window or curled up under the covers in bed with you. "
Burmese,"The Burmese thrives on companionship with her humans and other cats. Like her Siamese ancestors, she enjoys conversation, but has a much softer, sweeter voice. ",https://www.purina.com/cats/cat-breeds/burmese,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Burmese_body_6.jpg?itok=k5uUFUSE,"The Burmese thrives on companionship with her humans and other cats. Like her Siamese ancestors, she enjoys conversation, but has a much softer, sweeter voice. "
Chartreux,-,https://www.purina.com/cats/cat-breeds/chartreux,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Chartruese_body_6.jpg?itok=-1f4kRHH,-
Himalayan,"The Himalayan Cat is a sweet and mild-tempered feline. She’s affectionate but selective. Although she loves lying in your lap and being pet, she may be reserved around guests. Serene, quiet environments with few day-to-day changes are best for the Himmie.",https://www.purina.com/cats/cat-breeds/himalayan,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Himilayan_body_6.jpg?itok=VNb53gh8,"The Himalayan Cat is a sweet and mild-tempered feline. She’s affectionate but selective. Although she loves lying in your lap and being pet, she may be reserved around guests. Serene, quiet environments with few day-to-day changes are best for the Himmie."
Korat,-,https://www.purina.com/cats/cat-breeds/korat,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/Korat_body_6.jpg?itok=2tY-qjNb,-
LaPerm,-,https://www.purina.com/cats/cat-breeds/laperm,https://www.purina.com/sites/default/files/styles/kraken_generic_max_width_480/public/LaPerm_body_6.jpg?itok=boxx4MXX,-
